1585310294.57; ark; eur; 1.866361265058339 § bitcoin; eur; 4.649446912448525 § ethereum; eur; 2.2410915032676795 § litecoin; eur; 1.0119990287696612 § monero; eur; 10.739138491802615
1585310604.83; ark; eur; 1.1276476428032787 § bitcoin; eur; 0.9686601648066442 § ethereum; eur; 1.0109145118152725 § litecoin; eur; 7.973689465841456 § monero; eur; 10.970980070316985
1585310605.83; ark; eur; 1.1636363973608301 § bitcoin; eur; 0.9989307949568519 § ethereum; eur; 1.031132802051578 § litecoin; eur; 8.384704386761118 § monero; eur; 7.2643966526227315
1585310606.84; ark; eur; 1.041831994664326 § bitcoin; eur; 0.9888405849067826 § ethereum; eur; 1.0008053666971197 § litecoin; eur; 8.71351632349685 § monero; eur; 8.105537317663257
1585310607.84; ark; eur; 1.0099391785011325 § bitcoin; eur; 1.0292014251070594 § ethereum; eur; 2.470123893245736 § litecoin; eur; 7.973689465841456 § monero; eur; 7.187929319437229
1585310608.85; ark; eur; 1.6806727795849212 § bitcoin; eur; 2.0839332092199228 § ethereum; eur; 2.6261317180823087 § litecoin; eur; 9.085947566426972 § monero; eur; 10.970980070316985
1585310609.85; ark; eur; 1.7343112725503973 § bitcoin; eur; 4.1611159160663815 § ethereum; eur; 5.366852358508806 § litecoin; eur; 8.911217805534147 § monero; eur; 10.645109375159056
1585310610.86; ark; eur; 2.816074213253848 § bitcoin; eur; 4.1611159160663815 § ethereum; eur; 5.202560959778944 § litecoin; eur; 8.387028522855667 § monero; eur; 10.7537329402117
1585310611.86; ark; eur; 2.734841303256141 § bitcoin; eur; 4.121105186104205 § ethereum; eur; 5.312088558932186 § litecoin; eur; 8.649123164194906 § monero; eur; 11.405474330527559
1585310612.86; ark; eur; 2.7982511416236617 § bitcoin; eur; 4.201126646028558 § ethereum; eur; 2.4441225891063074 § litecoin; eur; 8.299663642409254 § monero; eur; 10.319238680001126
1585310613.87; ark; eur; 3.0066315457871258 § bitcoin; eur; 3.9210515362933207 § ethereum; eur; 5.147797160202324 § litecoin; eur; 8.998582685980558 § monero; eur; 11.07960363536963
1585310614.87; ark; eur; 2.300882128021587 § bitcoin; eur; 5.197744122664653 § ethereum; eur; 5.5311437572386675 § litecoin; eur; 8.299663642409254 § monero; eur; 11.405474330527559
1585310615.87; ark; eur; 2.4887092405131455 § bitcoin; eur; 4.199370196674925 § ethereum; eur; 6.715442473902471 § litecoin; eur; 5.4683257266830125 § monero; eur; 10.862356505264342
1585310616.88; ark; eur; 1.3150726049301011 § bitcoin; eur; 4.407259810371704 § ethereum; eur; 7.065205102751559 § litecoin; eur; 6.166409862004247 § monero; eur; 10.7537329402117
1585310617.88; ark; eur; 1.4689640799751131 § bitcoin; eur; 4.282526042153637 § ethereum; eur; 6.645489948132655 § litecoin; eur; 5.642846760513321 § monero; eur; 11.514097895580203
1585310618.88; ark; eur; 0.9726502461925867 § bitcoin; eur; 4.407259810371704 § ethereum; eur; 6.575537422362837 § litecoin; eur; 5.933715150230502 § monero; eur; 10.210615114948482
1585310619.88; ark; eur; 0.9927048904439801 § bitcoin; eur; 4.033058505717503 § ethereum; eur; 6.785394999672289 § litecoin; eur; 6.050062506117375 § monero; eur; 10.862356505264342
1585310620.89; ark; eur; 1.5538011086719825 § bitcoin; eur; 2.185686239965764 § ethereum; eur; 6.995252576981741 § litecoin; eur; 5.642846760513321 § monero; eur; 10.645109375159056
1585310621.89; ark; eur; 1.508101076063983 § bitcoin; eur; 1.0456568576225893 § ethereum; eur; 5.702700752436004 § litecoin; eur; 5.584673082569885 § monero; eur; 9.319324998595974
1585310622.89; ark; eur; 2.457358956077372 § bitcoin; eur; 1.0870690103997216 § ethereum; eur; 5.702700752436004 § litecoin; eur; 2.232633897947562 § monero; eur; 9.223249483146532
1585310623.9; ark; eur; 2.3332499178916466 § bitcoin; eur; 1.0456568576225893 § ethereum; eur; 5.875509866146186 § litecoin; eur; 6.050062506117375 § monero; eur; 9.511476029494862
1585310624.9; ark; eur; 2.9677352133268413 § bitcoin; eur; 1.0560098958168722 § ethereum; eur; 6.105922017759761 § litecoin; eur; 5.759194116400193 § monero; eur; 10.7537329402117
1585310625.91; ark; eur; 2.84782671985909 § bitcoin; eur; 0.9731855902626079 § ethereum; eur; 5.93311290404958 § litecoin; eur; 5.701020438456758 § monero; eur; 10.7537329402117
1585310626.91; ark; eur; 2.5699922706179303 § bitcoin; eur; 1.5911823538808394 § ethereum; eur; 5.93311290404958 § litecoin; eur; 2.0179575616064502 § monero; eur; 9.991853606742076
1585310627.91; ark; eur; 2.59595178850296 § bitcoin; eur; 3.6165084037750277 § ethereum; eur; 2.9941480114233405 § litecoin; eur; 2.275569165215784 § monero; eur; 9.319324998595974
1585310628.91; ark; eur; 1.6133503960483033 § bitcoin; eur; 3.3035413303714196 § ethereum; eur; 2.877870418746706 § litecoin; eur; 2.146763363411117 § monero; eur; 9.511476029494862
1585310629.92; ark; eur; 1.5804248777616032 § bitcoin; eur; 3.6165084037750277 § ethereum; eur; 1.0902862449620214 § litecoin; eur; 2.0179575616064502 § monero; eur; 10.087929122191518
1585310630.92; ark; eur; 1.0524667032426032 § bitcoin; eur; 3.686056642309163 § ethereum; eur; 2.732523427900913 § litecoin; eur; 2.146763363411117 § monero; eur; 9.895778091292634
1585310631.92; ark; eur; 0.9911579632478884 § bitcoin; eur; 3.4774119267067576 § ethereum; eur; 2.9941480114233405 § litecoin; eur; 2.039425195240561 § monero; eur; 9.223249483146532
1585310632.93; ark; eur; 1.3615244809175713 § bitcoin; eur; 4.843315685887976 § ethereum; eur; 1.0797009416128756 § litecoin; eur; 2.0179575616064502 § monero; eur; 9.607551544944304
1585310633.93; ark; eur; 1.2318554827349453 § bitcoin; eur; 4.647626163225835 § ethereum; eur; 1.100871548311167 § litecoin; eur; 1.1433879992948537 § monero; eur; 9.319324998595974
1585310634.93; ark; eur; 2.3069151223413176 § bitcoin; eur; 4.384655284333351 § ethereum; eur; 2.029364167573093 § litecoin; eur; 1.1323938839170187 § monero; eur; 9.895778091292634
1585310635.93; ark; eur; 2.2181876176358823 § bitcoin; eur; 4.658696239604185 § ethereum; eur; 1.7996248278478373 § litecoin; eur; 1.1323938839170187 § monero; eur; 9.12717396769709
1585310636.94; ark; eur; 2.8803028727345317 § bitcoin; eur; 4.384655284333351 § ethereum; eur; 1.9527843876646744 § litecoin; eur; 1.154382114672689 § monero; eur; 9.415400514045418
1585310637.94; ark; eur; 2.90969371837468 § bitcoin; eur; 4.613022747059046 § ethereum; eur; 1.7996248278478373 § litecoin; eur; 1.1104056531613484 § monero; eur; 9.223249483146532
1585310638.94; ark; eur; 2.90845515277085 § bitcoin; eur; 2.9695335720401754 § ethereum; eur; 2.029364167573093 § litecoin; eur; 1.0994115377835132 § monero; eur; 9.79970257584319
1585310639.95; ark; eur; 2.6847278333269387 § bitcoin; eur; 2.9135046367186623 § ethereum; eur; 1.8379147178020465 § litecoin; eur; 1.1213997685391834 § monero; eur; 9.223249483146532
1585310640.95; ark; eur; 1.8064129244210736 § bitcoin; eur; 1.2302741372845964 § ethereum; eur; 4.828498685555258 § litecoin; eur; 3.711007610949073 § monero; eur; 5.086340134591601
1585310641.96; ark; eur; 1.9601501945845692 § bitcoin; eur; 1.205912273179951 § ethereum; eur; 4.50034828944956 § litecoin; eur; 3.85653732118237 § monero; eur; 4.83454111802766
1585310642.96; ark; eur; 1.0740617497524412 § bitcoin; eur; 1.2911787975462101 § ethereum; eur; 4.453469661434461 § litecoin; eur; 3.7473900385073975 § monero; eur; 5.338139151155541
1585310643.96; ark; eur; 1.1747550387917327 § bitcoin; eur; 1.247556203137863 § ethereum; eur; 4.406591033419361 § litecoin; eur; 1.0444409608943375 § monero; eur; 4.784181314714872
1585310644.97; ark; eur; 1.1373315243876936 § bitcoin; eur; 1.3112070298285703 § ethereum; eur; 4.9222559415854565 § litecoin; eur; 1.1213997685391834 § monero; eur; 4.9352607246532365
1585310645.97; ark; eur; 1.1035493999009303 § bitcoin; eur; 1.3493975258429947 § ethereum; eur; 4.8753773135703575 § litecoin; eur; 3.6018603282741 § monero; eur; 5.187059741217177
1585310646.97; ark; eur; 2.014286321864434 § bitcoin; eur; 2.9448777017831373 § ethereum; eur; 6.4873725569508816 § litecoin; eur; 3.674625183390749 § monero; eur; 4.985620527966025
1585310647.98; ark; eur; 1.9755500464439641 § bitcoin; eur; 2.9448777017831373 § ethereum; eur; 6.897101350021464 § litecoin; eur; 3.565477900715776 § monero; eur; 5.136699937904389
1585310648.98; ark; eur; 2.833706351877767 § bitcoin; eur; 4.68226975283298 § ethereum; eur; 7.170253878735186 § litecoin; eur; 3.7473900385073975 § monero; eur; 4.884900921340448
1585310649.99; ark; eur; 2.6373108621436643 § bitcoin; eur; 4.589551539905594 § ethereum; eur; 6.760525085664603 § litecoin; eur; 3.6382427558324246 § monero; eur; 5.086340134591601
1585310650.99; ark; eur; 2.757748665388337 § bitcoin; eur; 4.404115114050823 § ethereum; eur; 6.828813217843034 § litecoin; eur; 3.6382427558324246 § monero; eur; 5.338139151155541
1585310651.99; ark; eur; 3.0217884312233907 § bitcoin; eur; 4.450474220514516 § ethereum; eur; 6.828813217843034 § litecoin; eur; 3.85653732118237 § monero; eur; 5.237419544529965
1585310653.0; ark; eur; 2.1152562317824715 § bitcoin; eur; 4.997613654801347 § ethereum; eur; 6.368965807431767 § litecoin; eur; 7.280485958021644 § monero; eur; 5.035980331278813
1585310654.0; ark; eur; 2.291527584431011 § bitcoin; eur; 4.949093133880945 § ethereum; eur; 6.5600347816547195 § litecoin; eur; 7.726229996267866 § monero; eur; 1.364231598783411
1585310655.0; ark; eur; 1.3117312791038456 § bitcoin; eur; 3.5673509085930215 § ethereum; eur; 3.9549682882360906 § litecoin; eur; 7.280485958021644 § monero; eur; 1.2696808939172342
1585310656.01; ark; eur; 1.2345706156271488 § bitcoin; eur; 3.466388147029068 § ethereum; eur; 6.050517517060179 § litecoin; eur; 7.577648650185792 § monero; eur; 5.237419544529965
1585310657.01; ark; eur; 0.994316297928465 § bitcoin; eur; 3.3654253854651146 § ethereum; eur; 6.5600347816547195 § litecoin; eur; 7.13190461193957 § monero; eur; 5.136699937904389
1585310658.01; ark; eur; 1.0045669814122635 § bitcoin; eur; 3.5673509085930215 § ethereum; eur; 3.6937911371261603 § litecoin; eur; 7.726229996267866 § monero; eur; 4.733821511402084
1585310659.02; ark; eur; 1.5608449049954634 § bitcoin; eur; 1.6353979606233067 § ethereum; eur; 3.5818580723647613 § litecoin; eur; 7.280485958021644 § monero; eur; 1.404753329440344
1585310660.02; ark; eur; 1.5608449049954634 § bitcoin; eur; 1.4656868515020203 § ethereum; eur; 1.4074850424472813 § litecoin; eur; 8.986618575199865 § monero; eur; 1.2966953810218562
1585310661.02; ark; eur; 2.5558767864913405 § bitcoin; eur; 1.0175501926272557 § ethereum; eur; 1.3538665646397658 § litecoin; eur; 8.986618575199865 § monero; eur; 1.2696808939172342
1585310662.03; ark; eur; 2.52979641111898 § bitcoin; eur; 1.0493486361468574 § ethereum; eur; 1.340461945187887 § litecoin; eur; 8.896752389447865 § monero; eur; 1.2696808939172342
1585310663.03; ark; eur; 3.116437858205771 § bitcoin; eur; 1.1023460420128603 § ethereum; eur; 1.3940804229954025 § litecoin; eur; 7.800520669308904 § monero; eur; 1.404753329440344
1585310664.03; ark; eur; 3.1464036068423646 § bitcoin; eur; 0.9963512302808545 § ethereum; eur; 1.2734388479284926 § litecoin; eur; 8.806886203695868 § monero; eur; 1.364231598783411
1585310665.04; ark; eur; 2.4688658563747343 § bitcoin; eur; 2.431565005544318 § ethereum; eur; 1.3940804229954025 § litecoin; eur; 9.25621713245586 § monero; eur; 1.3507243552311001
1585310666.04; ark; eur; 2.370111222119745 § bitcoin; eur; 2.455172432782612 § ethereum; eur; 1.3949887541686037 § litecoin; eur; 8.806886203695868 § monero; eur; 1.3912460858880331
1585310667.04; ark; eur; 1.4798820681643263 § bitcoin; eur; 4.164282171524776 § ethereum; eur; 1.4507883043353478 § litecoin; eur; 8.986618575199865 § monero; eur; 1.3102026245741671
1585310668.05; ark; eur; 1.525184580455071 § bitcoin; eur; 4.461730898062259 § ethereum; eur; 1.3810388666269175 § litecoin; eur; 9.076484760951864 § monero; eur; 1.2966953810218562
1585310669.05; ark; eur; 0.9917110932035801 § bitcoin; eur; 4.461730898062259 § ethereum; eur; 1.3391892040018596 § litecoin; eur; 9.525815689711857 § monero; eur; 1.364231598783411
1585310670.06; ark; eur; 1.0317802282825126 § bitcoin; eur; 4.1217894963051345 § ethereum; eur; 1.3810388666269175 § litecoin; eur; 8.896752389447865 § monero; eur; 1.3777388423357222
1585310671.08; ark; eur; 1.3688439572460662 § bitcoin; eur; 4.739760445612415 § ethereum; eur; 1.4228885292519757 § litecoin; eur; 9.166350946703862 § monero; eur; 1.323709868126478
1585310672.08; ark; eur; 1.4958500976091034 § bitcoin; eur; 4.839544876046361 § ethereum; eur; 3.8061053800524167 § litecoin; eur; 7.222835669165311 § monero; eur; 1.8623913271207204
1585310673.09; ark; eur; 2.4800887644749374 § bitcoin; eur; 3.705279706739728 § ethereum; eur; 3.9983329244995085 § litecoin; eur; 7.016468935760587 § monero; eur; 1.8623913271207204
1585310674.09; ark; eur; 2.4800887644749374 § bitcoin; eur; 3.744282651021199 § ethereum; eur; 3.921441906720672 § litecoin; eur; 6.741313291220957 § monero; eur; 1.9593908754082578
1585310675.1; ark; eur; 3.128987367525329 § bitcoin; eur; 4.134312093835907 § ethereum; eur; 3.690768853384162 § litecoin; eur; 7.0852578468954945 § monero; eur; 1.3102026245741671
1585310676.11; ark; eur; 3.069387608143894 § bitcoin; eur; 3.7832855953026696 § ethereum; eur; 3.8829963978312536 § litecoin; eur; 6.741313291220957 § monero; eur; 1.364231598783411
1585310677.11; ark; eur; 2.5621407083588017 § bitcoin; eur; 2.082822828742881 § ethereum; eur; 3.95988741561009 § litecoin; eur; 7.016468935760587 § monero; eur; 1.8235915078057054
1585310678.11; ark; eur; 2.535170806165551 § bitcoin; eur; 1.9241315656005664 § ethereum; eur; 6.565772863922271 § litecoin; eur; 6.534946557816233 § monero; eur; 1.9011911464357354
1585310679.12; ark; eur; 1.8086465337913127 § bitcoin; eur; 0.9914088903514185 § ethereum; eur; 6.4370322195316385 § litecoin; eur; 3.104594223528347 § monero; eur; 1.9787907850657653
1585310680.12; ark; eur; 1.6667919036900334 § bitcoin; eur; 0.9813946591357476 § ethereum; eur; 6.721028192769615 § litecoin; eur; 3.165468620068119 § monero; eur; 1.8235915078057054
1585310681.12; ark; eur; 1.0896474552696356 § bitcoin; eur; 1.041480046429773 § ethereum; eur; 6.823254152703536 § litecoin; eur; 3.165468620068119 § monero; eur; 1.9399909657507504
1585310682.13; ark; eur; 1.121384759792052 § bitcoin; eur; 1.0114373527827603 § ethereum; eur; 6.565772863922271 § litecoin; eur; 3.0437198269885757 § monero; eur; 1.9593908754082578
1585310683.15; ark; eur; 1.14835096356344 § bitcoin; eur; 1.8195540625974256 § ethereum; eur; 6.653139019105276 § litecoin; eur; 3.135031421798233 § monero; eur; 1.9787907850657653
1585310684.16; ark; eur; 1.1362630586838247 § bitcoin; eur; 1.7638534280281166 § ethereum; eur; 6.992584887426974 § litecoin; eur; 2.9219710339090326 § monero; eur; 1.9981906947232728
1585310685.16; ark; eur; 2.0453630976604957 § bitcoin; eur; 3.838370632224458 § ethereum; eur; 4.530917900904409 § litecoin; eur; 3.165468620068119 § monero; eur; 1.8235915078057054
1585310686.16; ark; eur; 2.1288473057282715 § bitcoin; eur; 3.687846293705852 § ethereum; eur; 4.622451595872175 § litecoin; eur; 0.9567863342195952 § monero; eur; 2.0563904236957953
1585310687.17; ark; eur; 3.029602584430436 § bitcoin; eur; 3.687846293705852 § ethereum; eur; 4.530917900904409 § litecoin; eur; 2.8610966373692612 § monero; eur; 1.8235915078057054
1585310688.17; ark; eur; 2.798775720854784 § bitcoin; eur; 3.574953039816897 § ethereum; eur; 4.347850510968877 § litecoin; eur; 3.01328262871869 § monero; eur; 1.881791236778228
1585310689.17; ark; eur; 2.9843764506285018 § bitcoin; eur; 5.266006547679655 § ethereum; eur; 4.302083663484995 § litecoin; eur; 3.135031421798233 § monero; eur; 1.8623913271207204
1585310690.18; ark; eur; 2.754809031349386 § bitcoin; eur; 5.067289319465329 § ethereum; eur; 4.530917900904409 § litecoin; eur; 1.0071435097048371 § monero; eur; 1.8623913271207204
1585310691.18; ark; eur; 2.013263128918403 § bitcoin; eur; 4.581618859463423 § ethereum; eur; 1.9259633738020296 § litecoin; eur; 1.0172149448018855 § monero; eur; 6.262011158668202
1585310692.19; ark; eur; 2.054350131549391 § bitcoin; eur; 4.494349928806977 § ethereum; eur; 1.7792233072266368 § litecoin; eur; 1.0272863798989338 § monero; eur; 5.88629048914811
1585310693.19; ark; eur; 1.1653554965755653 § bitcoin; eur; 4.581618859463423 § ethereum; eur; 1.7241957822608647 § litecoin; eur; 0.9970720746077888 § monero; eur; 6.324631270254884
1585310694.19; ark; eur; 1.1653554965755653 § bitcoin; eur; 4.188908671509416 § ethereum; eur; 1.815908323870485 § litecoin; eur; 0.9970720746077888 § monero; eur; 6.011530712321474
1585310695.2; ark; eur; 1.0373460666434278 § bitcoin; eur; 2.4302534286894972 § ethereum; eur; 1.7792233072266368 § litecoin; eur; 1.057500685190079 § monero; eur; 6.136770935494838
1585310696.2; ark; eur; 1.1229003814181433 § bitcoin; eur; 2.455307587748152 § ethereum; eur; 1.9076208654801055 § litecoin; eur; 1.0373578149959823 § monero; eur; 6.637731828188294
1585310697.2; ark; eur; 1.8233351769939217 § bitcoin; eur; 1.0359773973146293 § ethereum; eur; 1.0288468773640758 § litecoin; eur; 2.50950198381747 § monero; eur; 5.948910600734792
1585310698.2; ark; eur; 1.8955464711322947 § bitcoin; eur; 1.1241456864477892 § ethereum; eur; 1.0180169102339276 § litecoin; eur; 2.615165225241363 § monero; eur; 6.011530712321474
1585310699.21; ark; eur; 2.7201582784777694 § bitcoin; eur; 1.0359773973146293 § ethereum; eur; 1.1371465486655574 § litecoin; eur; 2.6415810355973366 § monero; eur; 6.51249160501493
1585310700.22; ark; eur; 2.8242778032716185 § bitcoin; eur; 1.0359773973146293 § ethereum; eur; 1.1263165815354093 § litecoin; eur; 2.50950198381747 § monero; eur; 6.387251381841566
1585310701.22; ark; eur; 3.0621117235471234 § bitcoin; eur; 1.4581455920731106 § ethereum; eur; 1.0938266801449648 § litecoin; eur; 2.5623336045294165 § monero; eur; 6.262011158668202
1585310702.23; ark; eur; 2.3544997653776596 § bitcoin; eur; 1.414834336863018 § ethereum; eur; 1.0288468773640758 § litecoin; eur; 2.4830861734614964 § monero; eur; 5.948910600734792
1585310703.23; ark; eur; 2.3311878865125344 § bitcoin; eur; 3.2483222275100596 § ethereum; eur; 3.134166841979176 § litecoin; eur; 2.615165225241363 § monero; eur; 6.324631270254884
1585310704.24; ark; eur; 1.4680567033171967 § bitcoin; eur; 3.3448070461489725 § ethereum; eur; 2.9834857438071003 § litecoin; eur; 6.573224842574451 § monero; eur; 6.262011158668202
1585310705.24; ark; eur; 1.329560787909914 § bitcoin; eur; 3.3448070461489725 § ethereum; eur; 5.500051513858826 § litecoin; eur; 6.444338080955344 § monero; eur; 6.011530712321474
1585310706.26; ark; eur; 1.064447907310723 § bitcoin; eur; 3.3448070461489725 § ethereum; eur; 2.8328046456350244 § litecoin; eur; 2.7208284666652567 § monero; eur; 6.575111716601612
1585310707.26; ark; eur; 1.0343220231415515 § bitcoin; eur; 4.9814706835361875 § ethereum; eur; 3.104030622344761 § litecoin; eur; 2.4830861734614964 § monero; eur; 6.51249160501493
1585310708.27; ark; eur; 1.4620220712501368 § bitcoin; eur; 4.598280630956481 § ethereum; eur; 6.085163377035297 § litecoin; eur; 2.58874941488539 § monero; eur; 6.51249160501493
1585310709.27; ark; eur; 1.61591913138173 § bitcoin; eur; 4.670807395674227 § ethereum; eur; 6.085163377035297 § litecoin; eur; 6.37989470014579 § monero; eur; 10.23970810562615
1585310710.27; ark; eur; 2.5975179013301584 § bitcoin; eur; 4.717987268357804 § ethereum; eur; 7.4059076889292434 § litecoin; eur; 6.1221211769075765 § monero; eur; 10.550002290645125
1585310711.28; ark; eur; 2.5725417676635223 § bitcoin; eur; 4.57644765030707 § ethereum; eur; 6.916838313245236 § litecoin; eur; 6.057677796098023 § monero; eur; 10.23970810562615
1585310712.28; ark; eur; 3.058727751513631 § bitcoin; eur; 2.913259842453056 § ethereum; eur; 7.4059076889292434 § litecoin; eur; 6.637668223384004 § monero; eur; 10.343139500632475
1585310713.28; ark; eur; 2.9987526975623835 § bitcoin; eur; 3.189252880159135 § ethereum; eur; 6.916838313245236 § litecoin; eur; 6.2510079385266835 § monero; eur; 10.4465708956388
1585310714.29; ark; eur; 2.7365420085647285 § bitcoin; eur; 2.9745916286099625 § ethereum; eur; 6.98670536691438 § litecoin; eur; 6.2510079385266835 § monero; eur; 10.860296475664098
1585310715.3; ark; eur; 2.6332762723924747 § bitcoin; eur; 2.943925735531509 § ethereum; eur; 7.4059076889292434 § litecoin; eur; 6.18656455771713 § monero; eur; 10.4465708956388
1585310716.3; ark; eur; 1.711262539892897 § bitcoin; eur; 1.4216679170317865 § ethereum; eur; 5.268802382388058 § litecoin; eur; 8.384026714253977 § monero; eur; 10.550002290645125
1585310717.3; ark; eur; 1.6134761090418743 § bitcoin; eur; 1.1547024831382768 § ethereum; eur; 5.483855540852877 § litecoin; eur; 8.562410261365763 § monero; eur; 10.23970810562615
1585310718.3; ark; eur; 0.9673740825384326 § bitcoin; eur; 1.1431554583068941 § ethereum; eur; 5.322565672004263 § litecoin; eur; 8.47321848780987 § monero; eur; 9.825982525600852
1585310719.31; ark; eur; 0.9775569676177845 § bitcoin; eur; 1.1662495079696595 § ethereum; eur; 5.268802382388058 § litecoin; eur; 8.829985582033444 § monero; eur; 10.550002290645125
