1587149083.5; bitcoin; eur; 2.423547971950508 § ethereum; eur; 3.499379026635707 § monero; eur; 5.828137720090214
1587149138.67; bitcoin; eur; 1.6941951568367992 § ethereum; eur; 4.117709099873264 § monero; eur; 6.1725164818357525
1587149139.68; bitcoin; eur; 1.7655296897562436 § ethereum; eur; 4.0392765455899635 § monero; eur; 6.385898842615157
1587149140.68; bitcoin; eur; 1.082691975318459 § ethereum; eur; 3.6863300513151125 § monero; eur; 6.494001715264698
1587149141.68; bitcoin; eur; 0.9977749576464229 § ethereum; eur; 4.156925377014914 § monero; eur; 6.1725164818357525
1587149142.69; bitcoin; eur; 1.250546923529802 § ethereum; eur; 4.156925377014914 § monero; eur; 6.429704668578909
1587149143.69; bitcoin; eur; 1.1904244752831767 § ethereum; eur; 5.19122573824866 § monero; eur; 6.589704124826279
1587149144.69; bitcoin; eur; 2.180534950136097 § ethereum; eur; 4.315073968467407 § monero; eur; 7.201119971459645
1587149145.69; bitcoin; eur; 2.055932952985463 § ethereum; eur; 4.103550734719004 § monero; eur; 4.359525755614667
1587149146.7; bitcoin; eur; 2.9668463581944833 § ethereum; eur; 3.9766367944699628 § monero; eur; 4.6807539691862745
1587149147.7; bitcoin; eur; 2.9380420246197794 § ethereum; eur; 4.2304646749680455 § monero; eur; 4.543084734798443
1587149148.71; bitcoin; eur; 2.932194401776339 § ethereum; eur; 4.484292555466128 § monero; eur; 4.359525755614667
1587149149.71; bitcoin; eur; 2.702218370264469 § ethereum; eur; 2.3380825924945725 § monero; eur; 4.3136360108187235
1587149150.71; bitcoin; eur; 2.106067360505024 § ethereum; eur; 2.197797636944898 § monero; eur; 1.7323627838988316
1587149151.72; bitcoin; eur; 2.188658237387574 § ethereum; eur; 1.0648069651119973 § monero; eur; 1.935086088397631
